                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3379,                 1.7284,                 1.4173,                0.80455,                0.78534,                0.86375,                0.51324,                 1.3081,                 1.0944,                 1.4406,             0.00066551,             0.00066551,             0.00066551
                      2,                 1.3994,                 1.2704,                 1.4696,                0.86236,                 0.8102,                0.88982,                 0.5412,                 1.2958,                0.96415,                 1.4218,              0.0012662,              0.0012662,              0.0012662
                      3,                 1.3605,                 1.1484,                  1.438,                0.90432,                0.86367,                0.92681,                0.57636,                 1.2723,                0.86185,                 1.4271,               0.001801,               0.001801,               0.001801
                      4,                 1.3165,                  1.081,                 1.4164,                0.86347,                0.79914,                0.86914,                0.57693,                 1.2386,                 0.9263,                 1.3932,               0.001703,               0.001703,               0.001703
                      5,                 1.2556,                0.99222,                   1.37,                0.93314,                0.89052,                0.95522,                 0.6384,                 1.1452,                0.70882,                 1.2985,               0.001604,               0.001604,               0.001604
                      6,                 1.2136,                0.93051,                 1.3413,                0.94474,                0.94316,                 0.9808,                 0.7008,                 1.0217,                0.58866,                 1.1973,               0.001505,               0.001505,               0.001505
                      7,                 1.1783,                0.88176,                 1.3257,                0.94785,                0.93534,                0.97392,                0.68065,                 1.0651,                0.59882,                 1.2429,               0.001406,               0.001406,               0.001406
                      8,                 1.1558,                0.84952,                 1.3062,                0.96603,                 0.9562,                0.98537,                 0.7132,                 1.0008,                0.54774,                 1.1753,               0.001307,               0.001307,               0.001307
                      9,                 1.1209,                 0.8103,                 1.2823,                0.97567,                0.96804,                0.99071,                0.71904,                 0.9971,                0.51919,                 1.1736,               0.001208,               0.001208,               0.001208
                     10,                 1.0972,                0.78094,                   1.27,                0.97151,                0.97328,                0.98995,                0.73081,                0.95584,                0.49943,                  1.145,               0.001109,               0.001109,               0.001109
                     11,                0.96904,                0.53972,                 1.1772,                0.97572,                0.97007,                0.99044,                0.74142,                0.94691,                  0.482,                 1.1432,                0.00101,                0.00101,                0.00101
                     12,                0.93861,                0.50039,                 1.1597,                0.96682,                 0.9819,                0.99195,                0.75251,                0.92692,                0.45615,                 1.1328,               0.000911,               0.000911,               0.000911
                     13,                0.91214,                0.48386,                 1.1421,                0.98315,                0.97845,                0.99122,                0.76558,                 0.8942,                0.42959,                 1.0984,               0.000812,               0.000812,               0.000812
                     14,                0.89342,                0.45642,                 1.1302,                0.98181,                0.97692,                0.99171,                0.77312,                0.87154,                0.42746,                 1.0717,               0.000713,               0.000713,               0.000713
                     15,                0.88085,                0.43827,                 1.1159,                0.98086,                0.98707,                0.99227,                0.77437,                0.85521,                 0.4109,                 1.0697,               0.000614,               0.000614,               0.000614
                     16,                0.85219,                0.41752,                  1.097,                 0.9859,                0.98793,                0.99286,                0.78154,                0.84335,                0.38227,                 1.0514,               0.000515,               0.000515,               0.000515
                     17,                 0.8359,                0.40422,                 1.0846,                0.98581,                0.99483,                0.99253,                 0.7934,                0.82949,                0.37147,                 1.0468,               0.000416,               0.000416,               0.000416
                     18,                 0.8143,                0.38851,                 1.0719,                0.98929,                0.99397,                0.99413,                0.79293,                0.81771,                0.36199,                 1.0399,               0.000317,               0.000317,               0.000317
                     19,                0.79704,                0.37265,                 1.0638,                0.99055,                0.99425,                0.99302,                0.80766,                0.80251,                0.35264,                 1.0267,               0.000218,               0.000218,               0.000218
                     20,                0.77862,                0.36399,                 1.0531,                0.98925,                0.99569,                 0.9934,                0.80688,                0.78641,                 0.3424,                 1.0166,               0.000119,               0.000119,               0.000119
